z,Load
  -39.50,   42.27
  -38.50,   42.36
  -37.50,   42.36
  -36.50,   42.42
  -35.50,   42.34
  -34.50,   42.40
  -33.50,   42.38
  -32.50,   42.41
  -31.50,   42.34
  -30.50,   42.36
  -29.50,   42.43
  -28.50,   42.37
  -27.50,   42.34
  -26.50,   42.13
  -25.50,   41.55
  -24.50,   40.49
  -23.50,   39.56
  -22.50,   38.58
  -21.50,   37.42
  -20.50,   35.93
  -19.50,   33.94
  -18.50,   30.81
  -17.50,   27.42
  -16.50,   24.52
  -15.50,   22.48
  -14.50,   20.69
  -13.50,   19.25
  -12.50,   17.64
  -11.50,   15.93
  -10.50,   13.91
   -9.50,   11.68
   -8.50,   10.31
   -7.50,    8.95
   -6.50,    7.92
   -5.50,    6.77
   -4.50,    5.17
   -3.50,    3.83
   -2.50,    2.90
   -1.50,    2.43
   -0.50,    2.17
    0.50,    2.26
    1.50,    2.08
    2.50,    2.33
    3.50,    2.75
    4.50,    3.01
    5.50,    3.10
    6.50,    3.39
    7.50,    5.25
    8.50,    6.91
    9.50,    9.24
   10.50,   12.07
   11.50,   14.06
   12.50,   15.23
   13.50,   17.61
   14.50,   19.91
   15.50,   22.58
   16.50,   25.60
   17.50,   28.93
   18.50,   31.96
   19.50,   34.93
   20.50,   38.42
   21.50,   41.15
   22.50,   41.80
   23.50,   42.07
   24.50,   42.27
   25.50,   42.36
   26.50,   42.36
   27.50,   42.36
   28.50,   42.42
   29.50,   42.37
   30.50,   42.41
   31.50,   42.39
   32.50,   42.37
   33.50,   42.39
   34.50,   42.38
   35.50,   42.34
   36.50,   42.39
   37.50,   42.41
   38.50,   42.38
   39.50,   42.39
