z,Load
  -39.50,   42.18
  -38.50,   42.39
  -37.50,   42.40
  -36.50,   42.40
  -35.50,   42.38
  -34.50,   42.38
  -33.50,   42.45
  -32.50,   42.34
  -31.50,   42.47
  -30.50,   42.39
  -29.50,   42.38
  -28.50,   42.40
  -27.50,   42.38
  -26.50,   42.30
  -25.50,   41.92
  -24.50,   41.03
  -23.50,   39.84
  -22.50,   38.25
  -21.50,   36.16
  -20.50,   34.16
  -19.50,   31.60
  -18.50,   28.30
  -17.50,   25.23
  -16.50,   22.92
  -15.50,   21.07
  -14.50,   18.79
  -13.50,   16.60
  -12.50,   15.07
  -11.50,   13.24
  -10.50,   10.81
   -9.50,    8.96
   -8.50,    8.15
   -7.50,    7.02
   -6.50,    6.15
   -5.50,    5.69
   -4.50,    4.78
   -3.50,    3.40
   -2.50,    2.62
   -1.50,    2.48
   -0.50,    2.25
    0.50,    2.56
    1.50,    3.47
    2.50,    3.80
    3.50,    3.53
    4.50,    3.79
    5.50,    3.75
    6.50,    4.05
    7.50,    6.32
    8.50,    8.63
    9.50,   11.50
   10.50,   13.81
   11.50,   15.07
   12.50,   15.78
   13.50,   17.11
   14.50,   19.54
   15.50,   22.78
   16.50,   25.70
   17.50,   27.92
   18.50,   30.38
   19.50,   33.81
   20.50,   37.51
   21.50,   39.68
   22.50,   40.61
   23.50,   41.29
   24.50,   41.99
   25.50,   42.14
   26.50,   42.37
   27.50,   42.37
   28.50,   42.41
   29.50,   42.35
   30.50,   42.41
   31.50,   42.45
   32.50,   42.40
   33.50,   42.44
   34.50,   42.37
   35.50,   42.39
   36.50,   42.40
   37.50,   42.37
   38.50,   42.43
   39.50,   42.39
