z,Load
  -39.50,   41.65
  -38.50,   42.32
  -37.50,   42.37
  -36.50,   42.40
  -35.50,   42.38
  -34.50,   42.41
  -33.50,   42.35
  -32.50,   42.43
  -31.50,   42.40
  -30.50,   42.35
  -29.50,   42.32
  -28.50,   42.25
  -27.50,   42.05
  -26.50,   41.73
  -25.50,   41.02
  -24.50,   39.87
  -23.50,   39.07
  -22.50,   37.64
  -21.50,   36.06
  -20.50,   35.12
  -19.50,   33.93
  -18.50,   31.26
  -17.50,   28.44
  -16.50,   26.12
  -15.50,   23.85
  -14.50,   22.11
  -13.50,   20.37
  -12.50,   18.61
  -11.50,   16.67
  -10.50,   14.21
   -9.50,   12.13
   -8.50,   10.42
   -7.50,    8.47
   -6.50,    6.84
   -5.50,    5.72
   -4.50,    4.87
   -3.50,    3.21
   -2.50,    2.31
   -1.50,    2.07
   -0.50,    1.96
    0.50,    2.43
    1.50,    3.91
    2.50,    4.95
    3.50,    4.04
    4.50,    4.30
    5.50,    4.28
    6.50,    4.83
    7.50,    6.19
    8.50,    7.55
    9.50,   10.37
   10.50,   13.13
   11.50,   14.60
   12.50,   15.79
   13.50,   17.66
   14.50,   20.26
   15.50,   22.51
   16.50,   24.72
   17.50,   27.20
   18.50,   30.19
   19.50,   32.95
   20.50,   35.63
   21.50,   37.87
   22.50,   39.56
   23.50,   40.53
   24.50,   41.20
   25.50,   41.75
   26.50,   41.99
   27.50,   42.24
   28.50,   42.34
   29.50,   42.40
   30.50,   42.36
   31.50,   42.42
   32.50,   42.37
   33.50,   42.40
   34.50,   42.39
   35.50,   42.39
   36.50,   42.44
   37.50,   42.38
   38.50,   42.38
   39.50,   42.25
