z,Load
  -39.50  , 23.72
  -38.50  , 23.74
  -37.50  , 23.77
  -36.50  , 23.44
  -35.50  , 23.36
  -34.50  , 23.48
  -33.50  , 22.72
  -32.50  , 22.37
  -31.50  , 21.67
  -30.50  , 21.35
  -29.50  , 21.07
  -28.50  , 19.23
  -27.50  , 18.42
  -26.50  , 18.27
  -25.50  , 17.00
  -24.50  , 15.09
  -23.50  , 13.66
  -22.50  , 12.80
  -21.50  , 12.21
  -20.50  , 11.52
  -19.50  ,  9.98
  -18.50  ,  7.14
  -17.50  ,  5.48
  -16.50  ,  6.21
  -15.50  ,  5.09
  -14.50  ,  3.65
  -13.50  ,  2.54
  -12.50  ,  2.18
  -11.50  ,  2.25
  -10.50  ,  1.75
   -9.50  ,  0.78
   -8.50  ,  0.00
   -7.50  ,  0.00
   -6.50  ,  0.01
   -5.50  ,  0.13
   -4.50  ,  1.58
   -3.50  ,  0.35
   -2.50  ,  1.05
   -1.50  ,  0.87
   -0.50  ,  0.84
    0.50  ,  1.42
    1.50  ,  1.48
    2.50  ,  2.73
    3.50  ,  2.55
    4.50  ,  2.93
    5.50  ,  3.88
    6.50  ,  4.58
    7.50  ,  4.99
    8.50  ,  5.97
    9.50  ,  5.74
   10.50  ,  8.31
   11.50  , 11.11
   12.50  , 11.98
   13.50  , 12.88
   14.50  , 15.37
   15.50  , 16.18
   16.50  , 17.51
   17.50  , 19.10
   18.50  , 20.87
   19.50  , 22.45
   20.50  , 23.05
   21.50  , 23.88
   22.50  , 23.52
   23.50  , 23.92
   24.50  , 23.84
   25.50  , 23.73
   26.50  , 23.80
   27.50  , 23.77
   28.50  , 23.74
   29.50  , 23.78
   30.50  , 23.77
   31.50  , 23.74
   32.50  , 23.78
   33.50  , 23.76
   34.50  , 23.75
   35.50  , 20.91
   36.50  ,  1.08
   37.50  ,  0.00
   38.50  ,  0.00
   39.50  ,  0.00
