z,Load
  -39.50,   66.48
  -38.50,   66.48
  -37.50,   66.47
  -36.50,   66.49
  -35.50,   66.50
  -34.50,   66.46
  -33.50,   66.45
  -32.50,   66.34
  -31.50,   66.27
  -30.50,   65.84
  -29.50,   65.14
  -28.50,   64.24
  -27.50,   62.59
  -26.50,   60.66
  -25.50,   58.59
  -24.50,   55.25
  -23.50,   51.37
  -22.50,   47.33
  -21.50,   42.86
  -20.50,   39.58
  -19.50,   36.47
  -18.50,   32.03
  -17.50,   26.94
  -16.50,   22.55
  -15.50,   17.81
  -14.50,   13.84
  -13.50,    9.94
  -12.50,    6.38
  -11.50,    5.12
  -10.50,    3.49
   -9.50,    1.77
   -8.50,    1.16
   -7.50,    1.10
   -6.50,    1.49
   -5.50,    1.51
   -4.50,    2.56
   -3.50,    2.47
   -2.50,    1.48
   -1.50,    1.03
   -0.50,    1.13
    0.50,    1.07
    1.50,    1.11
    2.50,    2.48
    3.50,    1.99
    4.50,    3.43
    5.50,    4.21
    6.50,    4.86
    7.50,    7.82
    8.50,   11.78
    9.50,   16.82
   10.50,   23.98
   11.50,   28.42
   12.50,   34.28
   13.50,   38.70
   14.50,   41.64
   15.50,   45.59
   16.50,   49.81
   17.50,   53.62
   18.50,   56.46
   19.50,   58.34
   20.50,   60.63
   21.50,   62.31
   22.50,   63.31
   23.50,   63.97
   24.50,   64.36
   25.50,   64.77
   26.50,   65.19
   27.50,   65.52
   28.50,   65.89
   29.50,   66.27
   30.50,   66.48
   31.50,   66.50
   32.50,   66.50
   33.50,   66.51
   34.50,   66.49
   35.50,   66.49
   36.50,   66.51
   37.50,   66.50
   38.50,   66.10
   39.50,   63.57
