z,Load
  -39.50,   65.19
  -38.50,   65.86
  -37.50,   65.86
  -36.50,   65.53
  -35.50,   65.04
  -34.50,   64.29
  -33.50,   63.36
  -32.50,   62.01
  -31.50,   60.07
  -30.50,   57.78
  -29.50,   55.08
  -28.50,   51.62
  -27.50,   47.94
  -26.50,   44.17
  -25.50,   40.52
  -24.50,   36.90
  -23.50,   33.00
  -22.50,   28.77
  -21.50,   24.10
  -20.50,   19.45
  -19.50,   15.65
  -18.50,   12.25
  -17.50,    9.25
  -16.50,    7.08
  -15.50,    5.92
  -14.50,    4.68
  -13.50,    3.22
  -12.50,    2.19
  -11.50,    1.57
  -10.50,    1.53
   -9.50,    1.53
   -8.50,    1.73
   -7.50,    1.49
   -6.50,    1.42
   -5.50,    1.46
   -4.50,    1.47
   -3.50,    2.27
   -2.50,    3.05
   -1.50,    3.30
   -0.50,    3.59
    0.50,    4.49
    1.50,    5.81
    2.50,    7.60
    3.50,    9.32
    4.50,   12.58
    5.50,   16.55
    6.50,   21.00
    7.50,   25.91
    8.50,   30.68
    9.50,   34.67
   10.50,   38.73
   11.50,   43.54
   12.50,   47.60
   13.50,   51.82
   14.50,   55.70
   15.50,   58.02
   16.50,   60.12
   17.50,   62.17
   18.50,   63.78
   19.50,   65.00
   20.50,   65.68
   21.50,   66.01
   22.50,   66.26
   23.50,   66.36
   24.50,   66.44
   25.50,   66.50
   26.50,   66.46
   27.50,   66.49
   28.50,   66.46
   29.50,   66.48
   30.50,   66.48
   31.50,   66.46
   32.50,   66.47
   33.50,   66.47
   34.50,   66.46
   35.50,   66.48
   36.50,   66.45
   37.50,   66.38
   38.50,   66.10
   39.50,   64.93
