z,Load
  -39.50,   23.88
  -38.50,   23.88
  -37.50,   23.90
  -36.50,   23.89
  -35.50,   23.88
  -34.50,   23.91
  -33.50,   23.89
  -32.50,   23.89
  -31.50,   23.91
  -30.50,   23.89
  -29.50,   23.88
  -28.50,   23.93
  -27.50,   23.86
  -26.50,   23.94
  -25.50,   23.95
  -24.50,   23.68
  -23.50,   24.17
  -22.50,   23.43
  -21.50,   22.76
  -20.50,   22.13
  -19.50,   20.32
  -18.50,   19.44
  -17.50,   18.36
  -16.50,   16.45
  -15.50,   14.74
  -14.50,   11.33
  -13.50,    8.77
  -12.50,    6.75
  -11.50,    7.03
  -10.50,    6.55
   -9.50,    5.66
   -8.50,    4.32
   -7.50,    3.16
   -6.50,    3.25
   -5.50,    4.05
   -4.50,    4.66
   -3.50,    4.50
   -2.50,    4.36
   -1.50,    3.68
   -0.50,    3.17
    0.50,    2.35
    1.50,    1.86
    2.50,    2.48
    3.50,    2.47
    4.50,    3.36
    5.50,    3.91
    6.50,    3.75
    7.50,    3.56
    8.50,    4.55
    9.50,    4.38
   10.50,    5.73
   11.50,    9.04
   12.50,   10.05
   13.50,   11.61
   14.50,   12.32
   15.50,   12.07
   16.50,   15.18
   17.50,   16.00
   18.50,   17.10
   19.50,   17.56
   20.50,   18.76
   21.50,   19.83
   22.50,   21.05
   23.50,   22.58
   24.50,   23.90
   25.50,   24.02
   26.50,   23.71
   27.50,   23.95
   28.50,   23.95
   29.50,   23.86
   30.50,   23.91
   31.50,   23.90
   32.50,   23.89
   33.50,   23.88
   34.50,   23.90
   35.50,   23.89
   36.50,   23.92
   37.50,   23.90
   38.50,   23.87
   39.50,   23.89
