z,Load
  -39.50,   42.47
  -38.50,   42.41
  -37.50,   42.50
  -36.50,   42.49
  -35.50,   42.42
  -34.50,   42.50
  -33.50,   42.48
  -32.50,   42.44
  -31.50,   42.46
  -30.50,   42.49
  -29.50,   42.43
  -28.50,   42.40
  -27.50,   42.46
  -26.50,   42.39
  -25.50,   42.32
  -24.50,   42.18
  -23.50,   41.98
  -22.50,   41.46
  -21.50,   41.07
  -20.50,   39.32
  -19.50,   36.61
  -18.50,   34.15
  -17.50,   31.05
  -16.50,   27.99
  -15.50,   24.85
  -14.50,   21.09
  -13.50,   18.85
  -12.50,   16.54
  -11.50,   13.68
  -10.50,   10.95
   -9.50,    8.66
   -8.50,    7.12
   -7.50,    6.06
   -6.50,    5.07
   -5.50,    5.04
   -4.50,    5.45
   -3.50,    4.64
   -2.50,    4.58
   -1.50,    4.25
   -0.50,    2.91
    0.50,    2.59
    1.50,    2.39
    2.50,    2.57
    3.50,    2.16
    4.50,    1.98
    5.50,    2.07
    6.50,    2.32
    7.50,    2.88
    8.50,    2.82
    9.50,    4.10
   10.50,    4.96
   11.50,    4.50
   12.50,    5.79
   13.50,    8.18
   14.50,   10.74
   15.50,   15.20
   16.50,   19.42
   17.50,   22.43
   18.50,   26.25
   19.50,   29.39
   20.50,   31.36
   21.50,   34.44
   22.50,   37.33
   23.50,   38.99
   24.50,   40.79
   25.50,   41.87
   26.50,   42.08
   27.50,   42.25
   28.50,   42.44
   29.50,   42.49
   30.50,   42.44
   31.50,   42.47
   32.50,   42.41
   33.50,   42.51
   34.50,   42.42
   35.50,   42.45
   36.50,   42.44
   37.50,   42.48
   38.50,   42.49
   39.50,   42.17
