z,Load
  -39.50,   42.41
  -38.50,   42.41
  -37.50,   42.48
  -36.50,   42.38
  -35.50,   42.50
  -34.50,   42.44
  -33.50,   42.49
  -32.50,   42.40
  -31.50,   42.51
  -30.50,   42.48
  -29.50,   42.42
  -28.50,   42.45
  -27.50,   42.54
  -26.50,   42.43
  -25.50,   42.37
  -24.50,   42.10
  -23.50,   41.67
  -22.50,   40.53
  -21.50,   39.16
  -20.50,   37.28
  -19.50,   35.09
  -18.50,   32.26
  -17.50,   28.18
  -16.50,   24.78
  -15.50,   21.64
  -14.50,   18.90
  -13.50,   17.18
  -12.50,   15.06
  -11.50,   11.69
  -10.50,    8.73
   -9.50,    5.41
   -8.50,    4.39
   -7.50,    4.65
   -6.50,    4.41
   -5.50,    4.92
   -4.50,    4.61
   -3.50,    3.25
   -2.50,    3.34
   -1.50,    2.58
   -0.50,    2.60
    0.50,    1.68
    1.50,    2.17
    2.50,    2.56
    3.50,    3.15
    4.50,    2.95
    5.50,    2.80
    6.50,    2.48
    7.50,    3.28
    8.50,    3.43
    9.50,    4.78
   10.50,    7.34
   11.50,    7.28
   12.50,    8.21
   13.50,   10.86
   14.50,   12.19
   15.50,   15.73
   16.50,   19.72
   17.50,   23.88
   18.50,   27.45
   19.50,   29.51
   20.50,   32.16
   21.50,   34.92
   22.50,   37.14
   23.50,   39.66
   24.50,   41.03
   25.50,   41.75
   26.50,   42.09
   27.50,   42.39
   28.50,   42.37
   29.50,   42.41
   30.50,   42.50
   31.50,   42.48
   32.50,   42.42
   33.50,   42.49
   34.50,   42.48
   35.50,   42.46
   36.50,   42.50
   37.50,   42.47
   38.50,   42.44
   39.50,   41.98
