z,Load
  -39.50,   42.18
  -38.50,   42.42
  -37.50,   42.46
  -36.50,   42.51
  -35.50,   42.40
  -34.50,   42.50
  -33.50,   42.45
  -32.50,   42.46
  -31.50,   42.45
  -30.50,   42.47
  -29.50,   42.47
  -28.50,   42.36
  -27.50,   42.35
  -26.50,   42.08
  -25.50,   41.70
  -24.50,   41.01
  -23.50,   40.23
  -22.50,   39.06
  -21.50,   38.17
  -20.50,   36.55
  -19.50,   34.09
  -18.50,   31.85
  -17.50,   28.61
  -16.50,   24.05
  -15.50,   20.77
  -14.50,   18.20
  -13.50,   16.52
  -12.50,   15.09
  -11.50,   11.98
  -10.50,    9.20
   -9.50,    6.42
   -8.50,    5.52
   -7.50,    5.30
   -6.50,    5.91
   -5.50,    6.33
   -4.50,    5.63
   -3.50,    4.52
   -2.50,    4.24
   -1.50,    3.50
   -0.50,    2.81
    0.50,    1.73
    1.50,    2.20
    2.50,    2.00
    3.50,    2.12
    4.50,    2.31
    5.50,    2.27
    6.50,    2.43
    7.50,    3.17
    8.50,    3.49
    9.50,    4.46
   10.50,    6.06
   11.50,    5.77
   12.50,    7.25
   13.50,    9.35
   14.50,   11.50
   15.50,   15.32
   16.50,   18.57
   17.50,   22.25
   18.50,   25.75
   19.50,   28.72
   20.50,   31.64
   21.50,   34.04
   22.50,   36.18
   23.50,   37.94
   24.50,   39.70
   25.50,   40.77
   26.50,   41.45
   27.50,   41.96
   28.50,   42.26
   29.50,   42.43
   30.50,   42.37
   31.50,   42.50
   32.50,   42.50
   33.50,   42.40
   34.50,   42.51
   35.50,   42.49
   36.50,   42.40
   37.50,   42.47
   38.50,   42.36
   39.50,   40.97
