z,Load
  -39.50,   42.41
  -38.50,   42.46
  -37.50,   42.43
  -36.50,   42.53
  -35.50,   42.45
  -34.50,   42.46
  -33.50,   42.49
  -32.50,   42.46
  -31.50,   42.46
  -30.50,   42.47
  -29.50,   42.46
  -28.50,   42.43
  -27.50,   42.43
  -26.50,   42.30
  -25.50,   42.15
  -24.50,   41.51
  -23.50,   40.69
  -22.50,   39.60
  -21.50,   38.36
  -20.50,   36.26
  -19.50,   33.72
  -18.50,   31.13
  -17.50,   27.23
  -16.50,   23.72
  -15.50,   20.87
  -14.50,   18.15
  -13.50,   16.45
  -12.50,   14.25
  -11.50,   11.05
  -10.50,    8.00
   -9.50,    4.94
   -8.50,    4.35
   -7.50,    4.53
   -6.50,    5.09
   -5.50,    5.73
   -4.50,    5.36
   -3.50,    4.47
   -2.50,    4.02
   -1.50,    3.28
   -0.50,    2.43
    0.50,    1.59
    1.50,    1.63
    2.50,    2.09
    3.50,    2.22
    4.50,    2.58
    5.50,    2.62
    6.50,    2.70
    7.50,    3.42
    8.50,    3.83
    9.50,    4.98
   10.50,    7.13
   11.50,    7.64
   12.50,    9.53
   13.50,   12.59
   14.50,   14.79
   15.50,   18.16
   16.50,   21.00
   17.50,   24.23
   18.50,   27.79
   19.50,   30.45
   20.50,   33.47
   21.50,   36.51
   22.50,   38.88
   23.50,   40.52
   24.50,   41.35
   25.50,   42.01
   26.50,   42.23
   27.50,   42.38
   28.50,   42.47
   29.50,   42.45
   30.50,   42.47
   31.50,   42.49
   32.50,   42.50
   33.50,   42.45
   34.50,   42.46
   35.50,   42.46
   36.50,   42.45
   37.50,   42.49
   38.50,   42.42
   39.50,   41.63
