z,Load
  -39.50,   42.29
  -38.50,   42.44
  -37.50,   42.45
  -36.50,   42.50
  -35.50,   42.48
  -34.50,   42.43
  -33.50,   42.45
  -32.50,   42.51
  -31.50,   42.42
  -30.50,   42.49
  -29.50,   42.44
  -28.50,   42.49
  -27.50,   42.44
  -26.50,   42.25
  -25.50,   42.06
  -24.50,   41.51
  -23.50,   40.77
  -22.50,   39.91
  -21.50,   38.72
  -20.50,   36.56
  -19.50,   33.98
  -18.50,   31.69
  -17.50,   27.91
  -16.50,   23.48
  -15.50,   19.97
  -14.50,   17.04
  -13.50,   15.47
  -12.50,   12.95
  -11.50,   10.18
  -10.50,    8.03
   -9.50,    5.94
   -8.50,    5.37
   -7.50,    5.26
   -6.50,    5.55
   -5.50,    5.51
   -4.50,    5.39
   -3.50,    4.76
   -2.50,    4.12
   -1.50,    3.49
   -0.50,    2.57
    0.50,    1.66
    1.50,    2.03
    2.50,    1.71
    3.50,    2.00
    4.50,    2.58
    5.50,    2.24
    6.50,    2.73
    7.50,    3.62
    8.50,    3.76
    9.50,    4.96
   10.50,    6.24
   11.50,    6.15
   12.50,    7.51
   13.50,    9.09
   14.50,   11.25
   15.50,   15.21
   16.50,   17.76
   17.50,   21.70
   18.50,   26.64
   19.50,   29.24
   20.50,   31.55
   21.50,   34.13
   22.50,   36.24
   23.50,   37.93
   24.50,   39.49
   25.50,   40.73
   26.50,   41.59
   27.50,   42.03
   28.50,   42.21
   29.50,   42.35
   30.50,   42.41
   31.50,   42.44
   32.50,   42.51
   33.50,   42.49
   34.50,   42.48
   35.50,   42.48
   36.50,   42.44
   37.50,   42.53
   38.50,   42.38
   39.50,   41.19
