z,Load
  -39.50,   42.41
  -38.50,   42.45
  -37.50,   42.43
  -36.50,   42.50
  -35.50,   42.40
  -34.50,   42.50
  -33.50,   42.48
  -32.50,   42.45
  -31.50,   42.43
  -30.50,   42.50
  -29.50,   42.46
  -28.50,   42.44
  -27.50,   42.50
  -26.50,   42.31
  -25.50,   42.04
  -24.50,   41.59
  -23.50,   40.86
  -22.50,   39.86
  -21.50,   39.31
  -20.50,   37.32
  -19.50,   34.35
  -18.50,   31.85
  -17.50,   28.19
  -16.50,   24.33
  -15.50,   21.46
  -14.50,   18.43
  -13.50,   16.08
  -12.50,   13.96
  -11.50,   11.11
  -10.50,    8.42
   -9.50,    5.36
   -8.50,    4.77
   -7.50,    4.65
   -6.50,    5.40
   -5.50,    5.66
   -4.50,    4.97
   -3.50,    4.36
   -2.50,    4.08
   -1.50,    3.12
   -0.50,    2.61
    0.50,    1.48
    1.50,    1.41
    2.50,    2.06
    3.50,    2.10
    4.50,    3.17
    5.50,    2.70
    6.50,    2.85
    7.50,    3.73
    8.50,    3.88
    9.50,    4.92
   10.50,    6.47
   11.50,    6.53
   12.50,    8.19
   13.50,    9.95
   14.50,   12.10
   15.50,   15.69
   16.50,   18.70
   17.50,   22.10
   18.50,   25.38
   19.50,   28.08
   20.50,   31.63
   21.50,   34.55
   22.50,   37.04
   23.50,   39.09
   24.50,   40.41
   25.50,   41.29
   26.50,   41.99
   27.50,   42.23
   28.50,   42.33
   29.50,   42.43
   30.50,   42.46
   31.50,   42.49
   32.50,   42.44
   33.50,   42.50
   34.50,   42.43
   35.50,   42.45
   36.50,   42.50
   37.50,   42.45
   38.50,   42.45
   39.50,   41.95
