z,Load
  -39.50,   42.24
  -38.50,   42.40
  -37.50,   42.34
  -36.50,   42.42
  -35.50,   42.32
  -34.50,   42.41
  -33.50,   42.36
  -32.50,   42.40
  -31.50,   42.40
  -30.50,   42.40
  -29.50,   42.34
  -28.50,   42.39
  -27.50,   42.29
  -26.50,   41.98
  -25.50,   41.29
  -24.50,   40.26
  -23.50,   39.16
  -22.50,   37.91
  -21.50,   37.45
  -20.50,   36.32
  -19.50,   33.15
  -18.50,   29.50
  -17.50,   26.53
  -16.50,   24.25
  -15.50,   22.07
  -14.50,   19.97
  -13.50,   18.30
  -12.50,   16.63
  -11.50,   14.26
  -10.50,   11.49
   -9.50,    9.26
   -8.50,    8.24
   -7.50,    7.25
   -6.50,    6.48
   -5.50,    6.48
   -4.50,    5.68
   -3.50,    3.80
   -2.50,    2.63
   -1.50,    2.08
   -0.50,    1.89
    0.50,    1.68
    1.50,    2.13
    2.50,    2.50
    3.50,    2.69
    4.50,    3.13
    5.50,    2.90
    6.50,    3.12
    7.50,    5.12
    8.50,    6.06
    9.50,    8.16
   10.50,   10.30
   11.50,   12.53
   12.50,   13.82
   13.50,   16.20
   14.50,   19.42
   15.50,   22.05
   16.50,   24.78
   17.50,   27.80
   18.50,   30.36
   19.50,   33.28
   20.50,   36.95
   21.50,   39.52
   22.50,   40.51
   23.50,   41.64
   24.50,   42.06
   25.50,   42.25
   26.50,   42.40
   27.50,   42.46
   28.50,   42.39
   29.50,   42.44
   30.50,   42.40
   31.50,   42.38
   32.50,   42.41
   33.50,   42.40
   34.50,   42.31
   35.50,   42.42
   36.50,   42.43
   37.50,   42.32
   38.50,   42.45
   39.50,   42.34
