z,Load
  -39.50,   41.66
  -38.50,   42.35
  -37.50,   42.45
  -36.50,   42.45
  -35.50,   42.29
  -34.50,   42.38
  -33.50,   42.44
  -32.50,   42.35
  -31.50,   42.39
  -30.50,   42.44
  -29.50,   42.36
  -28.50,   42.46
  -27.50,   42.40
  -26.50,   42.20
  -25.50,   42.08
  -24.50,   41.61
  -23.50,   40.46
  -22.50,   39.59
  -21.50,   38.91
  -20.50,   37.51
  -19.50,   35.89
  -18.50,   34.23
  -17.50,   31.71
  -16.50,   28.64
  -15.50,   26.12
  -14.50,   24.56
  -13.50,   22.52
  -12.50,   19.96
  -11.50,   18.01
  -10.50,   16.27
   -9.50,   14.40
   -8.50,   12.63
   -7.50,   10.04
   -6.50,    8.43
   -5.50,    8.31
   -4.50,    7.05
   -3.50,    5.18
   -2.50,    3.55
   -1.50,    2.63
   -0.50,    2.13
    0.50,    2.69
    1.50,    3.32
    2.50,    4.90
    3.50,    4.09
    4.50,    3.79
    5.50,    4.16
    6.50,    4.14
    7.50,    5.19
    8.50,    6.57
    9.50,    8.46
   10.50,    9.79
   11.50,   11.48
   12.50,   13.16
   13.50,   14.46
   14.50,   17.01
   15.50,   19.49
   16.50,   21.49
   17.50,   24.38
   18.50,   28.20
   19.50,   31.12
   20.50,   33.34
   21.50,   35.78
   22.50,   37.89
   23.50,   39.43
   24.50,   40.42
   25.50,   41.26
   26.50,   41.79
   27.50,   42.13
   28.50,   42.30
   29.50,   42.37
   30.50,   42.46
   31.50,   42.39
   32.50,   42.35
   33.50,   42.42
   34.50,   42.43
   35.50,   42.40
   36.50,   42.40
   37.50,   42.36
   38.50,   42.40
   39.50,   42.28
