z,Load
  -39.50,   42.24
  -38.50,   42.42
  -37.50,   42.31
  -36.50,   42.44
  -35.50,   42.34
  -34.50,   42.34
  -33.50,   42.44
  -32.50,   42.34
  -31.50,   42.40
  -30.50,   42.42
  -29.50,   42.32
  -28.50,   42.29
  -27.50,   42.27
  -26.50,   42.15
  -25.50,   41.97
  -24.50,   41.49
  -23.50,   40.97
  -22.50,   40.52
  -21.50,   39.25
  -20.50,   38.18
  -19.50,   37.07
  -18.50,   35.09
  -17.50,   32.71
  -16.50,   30.32
  -15.50,   27.97
  -14.50,   25.25
  -13.50,   23.21
  -12.50,   21.47
  -11.50,   19.74
  -10.50,   17.51
   -9.50,   14.66
   -8.50,   11.72
   -7.50,   10.06
   -6.50,    7.84
   -5.50,    7.13
   -4.50,    6.03
   -3.50,    4.42
   -2.50,    2.92
   -1.50,    1.93
   -0.50,    1.35
    0.50,    1.30
    1.50,    2.44
    2.50,    3.51
    3.50,    2.94
    4.50,    3.37
    5.50,    3.04
    6.50,    3.37
    7.50,    3.39
    8.50,    4.77
    9.50,    6.60
   10.50,    9.26
   11.50,   10.86
   12.50,   12.40
   13.50,   15.02
   14.50,   17.82
   15.50,   21.49
   16.50,   24.60
   17.50,   26.56
   18.50,   28.99
   19.50,   32.14
   20.50,   34.95
   21.50,   37.39
   22.50,   39.41
   23.50,   40.35
   24.50,   41.10
   25.50,   41.94
   26.50,   42.21
   27.50,   42.35
   28.50,   42.44
   29.50,   42.44
   30.50,   42.36
   31.50,   42.38
   32.50,   42.39
   33.50,   42.39
   34.50,   42.38
   35.50,   42.40
   36.50,   42.37
   37.50,   42.37
   38.50,   42.36
   39.50,   42.33
