z,Load
  -39.50,   42.07
  -38.50,   42.38
  -37.50,   42.38
  -36.50,   42.37
  -35.50,   42.40
  -34.50,   42.40
  -33.50,   42.34
  -32.50,   42.46
  -31.50,   42.33
  -30.50,   42.42
  -29.50,   42.52
  -28.50,   42.38
  -27.50,   42.08
  -26.50,   41.79
  -25.50,   41.13
  -24.50,   40.32
  -23.50,   39.48
  -22.50,   38.48
  -21.50,   37.72
  -20.50,   37.04
  -19.50,   34.64
  -18.50,   30.13
  -17.50,   26.19
  -16.50,   23.73
  -15.50,   22.08
  -14.50,   20.06
  -13.50,   18.47
  -12.50,   16.68
  -11.50,   14.27
  -10.50,   11.74
   -9.50,   10.02
   -8.50,    9.00
   -7.50,    8.48
   -6.50,    7.59
   -5.50,    6.98
   -4.50,    6.14
   -3.50,    3.70
   -2.50,    2.71
   -1.50,    2.03
   -0.50,    1.76
    0.50,    1.55
    1.50,    2.43
    2.50,    3.06
    3.50,    2.60
    4.50,    2.50
    5.50,    2.32
    6.50,    2.82
    7.50,    5.40
    8.50,    6.01
    9.50,    8.04
   10.50,    9.45
   11.50,   11.15
   12.50,   12.86
   13.50,   15.68
   14.50,   18.58
   15.50,   21.33
   16.50,   24.89
   17.50,   27.88
   18.50,   30.76
   19.50,   33.93
   20.50,   37.16
   21.50,   39.63
   22.50,   40.49
   23.50,   41.31
   24.50,   41.88
   25.50,   42.18
   26.50,   42.26
   27.50,   42.41
   28.50,   42.34
   29.50,   42.46
   30.50,   42.39
   31.50,   42.40
   32.50,   42.38
   33.50,   42.46
   34.50,   42.32
   35.50,   42.44
   36.50,   42.37
   37.50,   42.36
   38.50,   42.39
   39.50,   42.34
