z,Load
  -39.50  , 23.71
  -38.50  , 23.83
  -37.50  , 23.70
  -36.50  , 23.42
  -35.50  , 23.26
  -34.50  , 23.26
  -33.50  , 22.63
  -32.50  , 22.54
  -31.50  , 21.73
  -30.50  , 21.43
  -29.50  , 21.16
  -28.50  , 18.95
  -27.50  , 18.14
  -26.50  , 17.67
  -25.50  , 16.68
  -24.50  , 15.37
  -23.50  , 14.41
  -22.50  , 13.66
  -21.50  , 12.80
  -20.50  , 11.92
  -19.50  , 10.07
  -18.50  ,  6.83
  -17.50  ,  5.38
  -16.50  ,  6.65
  -15.50  ,  4.95
  -14.50  ,  3.58
  -13.50  ,  2.78
  -12.50  ,  2.02
  -11.50  ,  2.30
  -10.50  ,  1.72
   -9.50  ,  0.80
   -8.50  ,  0.00
   -7.50  ,  0.00
   -6.50  ,  0.01
   -5.50  ,  0.13
   -4.50  ,  1.58
   -3.50  ,  0.38
   -2.50  ,  0.95
   -1.50  ,  0.97
   -0.50  ,  0.81
    0.50  ,  1.41
    1.50  ,  1.46
    2.50  ,  2.70
    3.50  ,  2.53
    4.50  ,  3.03
    5.50  ,  3.76
    6.50  ,  4.33
    7.50  ,  4.92
    8.50  ,  5.76
    9.50  ,  5.99
   10.50  ,  9.00
   11.50  , 11.77
   12.50  , 12.58
   13.50  , 13.60
   14.50  , 15.69
   15.50  , 16.41
   16.50  , 17.66
   17.50  , 19.33
   18.50  , 20.97
   19.50  , 22.59
   20.50  , 23.18
   21.50  , 23.68
   22.50  , 23.50
   23.50  , 23.95
   24.50  , 23.90
   25.50  , 23.76
   26.50  , 23.80
   27.50  , 23.80
   28.50  , 23.78
   29.50  , 23.77
   30.50  , 23.80
   31.50  , 23.76
   32.50  , 23.77
   33.50  , 23.79
   34.50  , 23.73
   35.50  , 20.63
   36.50  ,  0.96
   37.50  ,  0.00
   38.50  ,  0.00
   39.50  ,  0.00
