z,Load
  -39.50,   41.79
  -38.50,   42.50
  -37.50,   42.56
  -36.50,   42.55
  -35.50,   42.48
  -34.50,   42.34
  -33.50,   42.12
  -32.50,   41.72
  -31.50,   41.09
  -30.50,   40.16
  -29.50,   38.99
  -28.50,   37.40
  -27.50,   35.45
  -26.50,   32.71
  -25.50,   29.80
  -24.50,   27.61
  -23.50,   24.52
  -22.50,   21.96
  -21.50,   19.26
  -20.50,   16.85
  -19.50,   13.42
  -18.50,    9.06
  -17.50,    6.65
  -16.50,    5.45
  -15.50,    4.54
  -14.50,    4.38
  -13.50,    4.38
  -12.50,    3.26
  -11.50,    2.47
  -10.50,    2.07
   -9.50,    1.97
   -8.50,    2.07
   -7.50,    2.18
   -6.50,    2.15
   -5.50,    2.34
   -4.50,    3.14
   -3.50,    2.60
   -2.50,    2.22
   -1.50,    2.24
   -0.50,    2.70
    0.50,    3.67
    1.50,    5.84
    2.50,    5.57
    3.50,    6.24
    4.50,    6.94
    5.50,    8.07
    6.50,    9.36
    7.50,    9.96
    8.50,   11.24
    9.50,   12.52
   10.50,   14.28
   11.50,   16.04
   12.50,   18.30
   13.50,   21.59
   14.50,   25.20
   15.50,   29.22
   16.50,   32.61
   17.50,   34.81
   18.50,   37.26
   19.50,   39.65
   20.50,   40.93
   21.50,   41.67
   22.50,   42.18
   23.50,   42.39
   24.50,   42.51
   25.50,   42.52
   26.50,   42.58
   27.50,   42.60
   28.50,   42.55
   29.50,   42.57
   30.50,   42.60
   31.50,   42.57
   32.50,   42.56
   33.50,   42.57
   34.50,   42.57
   35.50,   42.57
   36.50,   42.55
   37.50,   42.57
   38.50,   42.54
   39.50,   42.18
