z,Load
  -39.50  , 23.84
  -38.50  , 23.85
  -37.50  , 23.82
  -36.50  , 23.79
  -35.50  , 23.67
  -34.50  , 23.45
  -33.50  , 23.21
  -32.50  , 22.89
  -31.50  , 22.46
  -30.50  , 21.99
  -29.50  , 21.22
  -28.50  , 19.88
  -27.50  , 18.27
  -26.50  , 17.34
  -25.50  , 17.18
  -24.50  , 16.67
  -23.50  , 14.86
  -22.50  , 13.30
  -21.50  , 12.34
  -20.50  , 11.59
  -19.50  , 10.41
  -18.50  ,  8.45
  -17.50  ,  6.41
  -16.50  ,  6.59
  -15.50  ,  5.59
  -14.50  ,  4.62
  -13.50  ,  2.84
  -12.50  ,  2.36
  -11.50  ,  2.19
  -10.50  ,  1.33
   -9.50  ,  0.97
   -8.50  ,  0.09
   -7.50  ,  0.00
   -6.50  ,  0.00
   -5.50  ,  0.06
   -4.50  ,  1.20
   -3.50  ,  0.83
   -2.50  ,  0.77
   -1.50  ,  0.77
   -0.50  ,  1.32
    0.50  ,  0.79
    1.50  ,  1.74
    2.50  ,  1.96
    3.50  ,  1.96
    4.50  ,  1.89
    5.50  ,  3.11
    6.50  ,  4.42
    7.50  ,  5.10
    8.50  ,  5.07
    9.50  ,  5.17
   10.50  ,  7.71
   11.50  , 10.57
   12.50  , 11.90
   13.50  , 12.87
   14.50  , 14.68
   15.50  , 15.67
   16.50  , 17.63
   17.50  , 19.58
   18.50  , 21.02
   19.50  , 21.81
   20.50  , 22.89
   21.50  , 23.68
   22.50  , 23.80
   23.50  , 23.93
   24.50  , 23.89
   25.50  , 23.91
   26.50  , 23.90
   27.50  , 23.89
   28.50  , 23.91
   29.50  , 23.89
   30.50  , 23.89
   31.50  , 23.88
   32.50  , 23.88
   33.50  , 23.88
   34.50  , 23.35
   35.50  , 20.83
   36.50  , 16.82
   37.50  , 12.43
   38.50  ,  8.45
   39.50  ,  5.35
