z,Load
  -39.50  , 23.89
  -38.50  , 23.88
  -37.50  , 23.90
  -36.50  , 23.90
  -35.50  , 23.90
  -34.50  , 23.90
  -33.50  , 23.92
  -32.50  , 23.96
  -31.50  , 23.87
  -30.50  , 23.55
  -29.50  , 22.29
  -28.50  , 20.55
  -27.50  , 19.33
  -26.50  , 18.17
  -25.50  , 16.31
  -24.50  , 14.68
  -23.50  , 13.26
  -22.50  , 12.14
  -21.50  , 11.40
  -20.50  , 11.43
  -19.50  ,  9.76
  -18.50  ,  9.08
  -17.50  ,  7.14
  -16.50  ,  4.30
  -15.50  ,  3.62
  -14.50  ,  3.84
  -13.50  ,  2.65
  -12.50  ,  1.56
  -11.50  ,  1.50
  -10.50  ,  1.46
   -9.50  ,  0.81
   -8.50  ,  1.20
   -7.50  ,  0.41
   -6.50  ,  0.56
   -5.50  ,  0.56
   -4.50  ,  0.93
   -3.50  ,  1.45
   -2.50  ,  1.62
   -1.50  ,  2.96
   -0.50  ,  2.78
    0.50  ,  3.03
    1.50  ,  4.24
    2.50  ,  6.19
    3.50  ,  7.12
    4.50  ,  7.90
    5.50  ,  8.73
    6.50  , 10.10
    7.50  , 11.81
    8.50  , 12.84
    9.50  , 13.20
   10.50  , 14.13
   11.50  , 15.39
   12.50  , 16.66
   13.50  , 18.08
   14.50  , 20.17
   15.50  , 21.55
   16.50  , 22.33
   17.50  , 22.70
   18.50  , 23.13
   19.50  , 23.50
   20.50  , 23.66
   21.50  , 23.78
   22.50  , 23.85
   23.50  , 23.89
   24.50  , 23.90
   25.50  , 23.92
   26.50  , 23.92
   27.50  , 23.91
   28.50  , 23.92
   29.50  , 23.90
   30.50  , 23.92
   31.50  , 23.93
   32.50  , 23.92
   33.50  , 23.91
   34.50  , 23.86
   35.50  , 23.20
   36.50  , 19.49
   37.50  , 10.83
   38.50  ,  4.28
   39.50  ,  1.37
