z,Load
  -39.50,   42.30
  -38.50,   42.55
  -37.50,   42.55
  -36.50,   42.57
  -35.50,   42.56
  -34.50,   42.50
  -33.50,   42.41
  -32.50,   42.20
  -31.50,   41.91
  -30.50,   41.57
  -29.50,   41.00
  -28.50,   40.38
  -27.50,   39.63
  -26.50,   38.58
  -25.50,   37.21
  -24.50,   35.88
  -23.50,   34.38
  -22.50,   32.72
  -21.50,   30.67
  -20.50,   28.17
  -19.50,   25.52
  -18.50,   22.77
  -17.50,   20.48
  -16.50,   18.22
  -15.50,   16.46
  -14.50,   14.65
  -13.50,   12.26
  -12.50,   10.10
  -11.50,    7.95
  -10.50,    5.73
   -9.50,    4.23
   -8.50,    3.51
   -7.50,    2.80
   -6.50,    2.34
   -5.50,    2.26
   -4.50,    2.64
   -3.50,    1.96
   -2.50,    1.64
   -1.50,    1.44
   -0.50,    1.10
    0.50,    1.33
    1.50,    1.92
    2.50,    2.03
    3.50,    1.93
    4.50,    2.62
    5.50,    2.87
    6.50,    3.48
    7.50,    4.28
    8.50,    4.88
    9.50,    6.29
   10.50,    8.76
   11.50,   10.51
   12.50,   12.79
   13.50,   15.49
   14.50,   18.20
   15.50,   21.14
   16.50,   24.10
   17.50,   27.16
   18.50,   30.78
   19.50,   34.05
   20.50,   36.32
   21.50,   37.71
   22.50,   39.10
   23.50,   40.27
   24.50,   41.12
   25.50,   41.76
   26.50,   42.24
   27.50,   42.42
   28.50,   42.49
   29.50,   42.52
   30.50,   42.52
   31.50,   42.56
   32.50,   42.55
   33.50,   42.58
   34.50,   42.57
   35.50,   42.55
   36.50,   42.57
   37.50,   42.54
   38.50,   42.27
   39.50,   41.10
