z,Load
  -39.50,   23.82
  -38.50,   23.80
  -37.50,   23.87
  -36.50,   23.82
  -35.50,   23.83
  -34.50,   23.83
  -33.50,   23.82
  -32.50,   23.84
  -31.50,   23.81
  -30.50,   23.89
  -29.50,   23.83
  -28.50,   23.75
  -27.50,   24.01
  -26.50,   23.00
  -25.50,   22.23
  -24.50,   21.09
  -23.50,   18.61
  -22.50,   15.37
  -21.50,   13.57
  -20.50,   10.56
  -19.50,    8.20
  -18.50,    6.85
  -17.50,    5.74
  -16.50,    3.97
  -15.50,    4.85
  -14.50,    2.31
  -13.50,    3.07
  -12.50,    2.09
  -11.50,    2.37
  -10.50,    1.63
   -9.50,    1.05
   -8.50,    1.00
   -7.50,    0.48
   -6.50,    0.71
   -5.50,    0.95
   -4.50,    1.38
   -3.50,    1.50
   -2.50,    0.37
   -1.50,    0.04
   -0.50,    0.04
    0.50,    0.53
    1.50,    1.66
    2.50,    2.90
    3.50,    2.60
    4.50,    4.48
    5.50,    5.12
    6.50,    6.08
    7.50,    7.36
    8.50,    7.47
    9.50,    9.19
   10.50,   12.30
   11.50,   12.02
   12.50,   14.39
   13.50,   16.65
   14.50,   16.48
   15.50,   17.81
   16.50,   17.59
   17.50,   19.21
   18.50,   18.97
   19.50,   18.24
   20.50,   20.22
   21.50,   19.86
   22.50,   20.86
   23.50,   23.45
   24.50,   23.31
   25.50,   23.48
   26.50,   23.79
   27.50,   24.08
   28.50,   23.80
   29.50,   23.83
   30.50,   23.89
   31.50,   23.85
   32.50,   23.83
   33.50,   23.87
   34.50,   23.84
   35.50,   23.86
   36.50,   23.85
   37.50,   23.84
   38.50,   23.86
   39.50,   12.83
