z,Load
  -39.50,   42.27
  -38.50,   42.36
  -37.50,   42.32
  -36.50,   42.34
  -35.50,   42.31
  -34.50,   42.36
  -33.50,   42.34
  -32.50,   42.35
  -31.50,   42.34
  -30.50,   42.19
  -29.50,   41.83
  -28.50,   41.45
  -27.50,   40.99
  -26.50,   40.30
  -25.50,   39.86
  -24.50,   39.07
  -23.50,   38.56
  -22.50,   38.14
  -21.50,   37.72
  -20.50,   36.24
  -19.50,   33.83
  -18.50,   32.10
  -17.50,   29.93
  -16.50,   27.12
  -15.50,   24.66
  -14.50,   22.29
  -13.50,   18.55
  -12.50,   16.17
  -11.50,   14.61
  -10.50,   13.03
   -9.50,   12.43
   -8.50,    9.71
   -7.50,    6.77
   -6.50,    6.12
   -5.50,    4.79
   -4.50,    3.46
   -3.50,    3.31
   -2.50,    2.97
   -1.50,    2.26
   -0.50,    1.82
    0.50,    1.38
    1.50,    1.31
    2.50,    1.05
    3.50,    2.12
    4.50,    1.40
    5.50,    1.54
    6.50,    2.54
    7.50,    2.87
    8.50,    4.15
    9.50,    6.00
   10.50,    9.52
   11.50,    9.82
   12.50,   11.19
   13.50,   14.03
   14.50,   16.35
   15.50,   19.85
   16.50,   23.66
   17.50,   27.38
   18.50,   30.22
   19.50,   30.60
   20.50,   31.59
   21.50,   33.03
   22.50,   34.55
   23.50,   35.66
   24.50,   36.86
   25.50,   38.80
   26.50,   39.93
   27.50,   40.99
   28.50,   41.72
   29.50,   42.38
   30.50,   42.54
   31.50,   42.31
   32.50,   42.33
   33.50,   42.42
   34.50,   42.34
   35.50,   42.36
   36.50,   42.33
   37.50,   42.39
   38.50,   42.35
   39.50,   42.31
