z,Load
  -39.50,   42.25
  -38.50,   42.36
  -37.50,   42.37
  -36.50,   42.27
  -35.50,   42.35
  -34.50,   42.34
  -33.50,   42.27
  -32.50,   42.32
  -31.50,   42.31
  -30.50,   42.16
  -29.50,   41.78
  -28.50,   41.58
  -27.50,   41.05
  -26.50,   40.54
  -25.50,   40.20
  -24.50,   39.33
  -23.50,   38.56
  -22.50,   37.85
  -21.50,   36.97
  -20.50,   35.95
  -19.50,   34.22
  -18.50,   33.22
  -17.50,   31.57
  -16.50,   28.67
  -15.50,   25.64
  -14.50,   22.75
  -13.50,   19.07
  -12.50,   16.26
  -11.50,   14.18
  -10.50,   13.17
   -9.50,   11.20
   -8.50,    8.74
   -7.50,    6.37
   -6.50,    5.47
   -5.50,    4.98
   -4.50,    3.50
   -3.50,    3.53
   -2.50,    3.13
   -1.50,    2.24
   -0.50,    1.86
    0.50,    1.33
    1.50,    1.30
    2.50,    0.95
    3.50,    2.23
    4.50,    1.30
    5.50,    0.95
    6.50,    2.05
    7.50,    1.86
    8.50,    2.91
    9.50,    4.95
   10.50,    8.61
   11.50,    9.43
   12.50,    9.59
   13.50,   11.66
   14.50,   13.88
   15.50,   17.47
   16.50,   22.00
   17.50,   26.55
   18.50,   29.19
   19.50,   29.10
   20.50,   30.16
   21.50,   31.76
   22.50,   33.91
   23.50,   35.46
   24.50,   36.74
   25.50,   38.41
   26.50,   39.79
   27.50,   40.62
   28.50,   41.71
   29.50,   42.39
   30.50,   42.44
   31.50,   42.41
   32.50,   42.36
   33.50,   42.40
   34.50,   42.36
   35.50,   42.33
   36.50,   42.36
   37.50,   42.40
   38.50,   42.37
   39.50,   42.34
