z,Load
  -39.50,   41.95
  -38.50,   42.33
  -37.50,   42.38
  -36.50,   42.29
  -35.50,   42.39
  -34.50,   42.32
  -33.50,   42.33
  -32.50,   42.36
  -31.50,   42.32
  -30.50,   42.27
  -29.50,   42.10
  -28.50,   41.72
  -27.50,   41.39
  -26.50,   41.01
  -25.50,   40.52
  -24.50,   39.54
  -23.50,   38.60
  -22.50,   38.01
  -21.50,   36.45
  -20.50,   34.93
  -19.50,   32.66
  -18.50,   30.21
  -17.50,   26.71
  -16.50,   22.32
  -15.50,   19.30
  -14.50,   17.19
  -13.50,   15.84
  -12.50,   13.90
  -11.50,   12.65
  -10.50,   11.32
   -9.50,    9.76
   -8.50,    7.77
   -7.50,    5.85
   -6.50,    5.22
   -5.50,    4.23
   -4.50,    2.99
   -3.50,    3.20
   -2.50,    2.82
   -1.50,    2.32
   -0.50,    1.97
    0.50,    1.38
    1.50,    1.42
    2.50,    1.09
    3.50,    1.72
    4.50,    1.60
    5.50,    0.85
    6.50,    2.30
    7.50,    2.87
    8.50,    3.58
    9.50,    5.80
   10.50,    9.37
   11.50,   10.51
   12.50,   11.27
   13.50,   14.52
   14.50,   17.26
   15.50,   20.87
   16.50,   24.89
   17.50,   27.30
   18.50,   28.32
   19.50,   28.34
   20.50,   30.16
   21.50,   31.80
   22.50,   33.91
   23.50,   35.41
   24.50,   37.44
   25.50,   38.95
   26.50,   39.90
   27.50,   40.81
   28.50,   41.65
   29.50,   42.02
   30.50,   42.14
   31.50,   42.19
   32.50,   42.38
   33.50,   42.36
   34.50,   42.40
   35.50,   42.35
   36.50,   42.37
   37.50,   42.30
   38.50,   42.43
   39.50,   42.22
