z,Load
  -39.50,   42.18
  -38.50,   42.38
  -37.50,   42.33
  -36.50,   42.37
  -35.50,   42.32
  -34.50,   42.36
  -33.50,   42.33
  -32.50,   42.35
  -31.50,   42.38
  -30.50,   42.18
  -29.50,   41.94
  -28.50,   41.47
  -27.50,   40.96
  -26.50,   40.56
  -25.50,   40.23
  -24.50,   39.71
  -23.50,   39.36
  -22.50,   38.97
  -21.50,   38.39
  -20.50,   37.06
  -19.50,   34.74
  -18.50,   33.44
  -17.50,   31.49
  -16.50,   28.48
  -15.50,   26.14
  -14.50,   23.77
  -13.50,   20.78
  -12.50,   18.42
  -11.50,   16.21
  -10.50,   14.97
   -9.50,   13.48
   -8.50,   10.40
   -7.50,    7.27
   -6.50,    6.28
   -5.50,    4.67
   -4.50,    3.60
   -3.50,    3.67
   -2.50,    3.40
   -1.50,    2.19
   -0.50,    1.96
    0.50,    1.27
    1.50,    1.34
    2.50,    1.10
    3.50,    1.86
    4.50,    1.42
    5.50,    1.23
    6.50,    1.72
    7.50,    2.07
    8.50,    2.82
    9.50,    4.42
   10.50,    7.57
   11.50,    8.23
   12.50,    9.68
   13.50,   12.15
   14.50,   14.51
   15.50,   17.11
   16.50,   21.39
   17.50,   25.48
   18.50,   27.62
   19.50,   28.52
   20.50,   30.15
   21.50,   32.91
   22.50,   35.17
   23.50,   36.07
   24.50,   37.02
   25.50,   38.48
   26.50,   39.74
   27.50,   41.14
   28.50,   41.98
   29.50,   42.35
   30.50,   42.48
   31.50,   42.42
   32.50,   42.36
   33.50,   42.40
   34.50,   42.36
   35.50,   42.41
   36.50,   42.34
   37.50,   42.37
   38.50,   42.37
   39.50,   42.34
