z,Load
  -39.50,   23.84
  -38.50,   23.87
  -37.50,   23.83
  -36.50,   23.91
  -35.50,   23.85
  -34.50,   24.05
  -33.50,   23.62
  -32.50,   23.24
  -31.50,   22.56
  -30.50,   22.42
  -29.50,   22.39
  -28.50,   21.79
  -27.50,   22.03
  -26.50,   21.22
  -25.50,   19.60
  -24.50,   18.25
  -23.50,   17.97
  -22.50,   18.18
  -21.50,   16.27
  -20.50,   13.20
  -19.50,   12.55
  -18.50,    8.61
  -17.50,    6.66
  -16.50,    4.42
  -15.50,    3.74
  -14.50,    3.92
  -13.50,    4.42
  -12.50,    3.22
  -11.50,    2.28
  -10.50,    1.83
   -9.50,    2.26
   -8.50,    2.33
   -7.50,    2.09
   -6.50,    2.27
   -5.50,    2.11
   -4.50,    2.28
   -3.50,    3.44
   -2.50,    3.19
   -1.50,    2.72
   -0.50,    2.69
    0.50,    3.03
    1.50,    3.15
    2.50,    4.95
    3.50,    4.83
    4.50,    5.08
    5.50,    5.82
    6.50,    6.33
    7.50,    6.29
    8.50,    7.94
    9.50,    8.53
   10.50,   10.01
   11.50,   11.26
   12.50,   12.39
   13.50,   11.50
   14.50,   11.60
   15.50,   15.43
   16.50,   17.69
   17.50,   19.34
   18.50,   20.88
   19.50,   22.97
   20.50,   23.02
   21.50,   23.60
   22.50,   24.18
   23.50,   23.73
   24.50,   23.84
   25.50,   23.89
   26.50,   23.84
   27.50,   23.84
   28.50,   23.85
   29.50,   23.82
   30.50,   23.84
   31.50,   23.83
   32.50,   23.84
   33.50,   23.84
   34.50,   23.83
   35.50,   23.89
   36.50,   23.81
   37.50,   23.83
   38.50,   23.05
   39.50,    4.82
