z,Load
  -39.50,   23.74
  -38.50,   23.81
  -37.50,   23.76
  -36.50,   23.79
  -35.50,   23.59
  -34.50,   24.04
  -33.50,   22.75
  -32.50,   19.85
  -31.50,   18.36
  -30.50,   17.97
  -29.50,   16.74
  -28.50,   16.84
  -27.50,   16.53
  -26.50,   15.44
  -25.50,   14.76
  -24.50,   13.63
  -23.50,   13.55
  -22.50,   12.50
  -21.50,   10.42
  -20.50,    8.47
  -19.50,    7.16
  -18.50,    5.99
  -17.50,    4.51
  -16.50,    3.01
  -15.50,    2.36
  -14.50,    1.18
  -13.50,    1.30
  -12.50,    0.33
  -11.50,    0.38
  -10.50,    0.58
   -9.50,    0.83
   -8.50,    1.09
   -7.50,    0.98
   -6.50,    1.64
   -5.50,    2.59
   -4.50,    2.80
   -3.50,    3.00
   -2.50,    2.15
   -1.50,    2.05
   -0.50,    2.78
    0.50,    3.38
    1.50,    3.85
    2.50,    4.48
    3.50,    3.78
    4.50,    4.82
    5.50,    7.16
    6.50,    9.35
    7.50,    9.65
    8.50,   10.36
    9.50,   10.04
   10.50,   11.25
   11.50,   12.57
   12.50,   13.24
   13.50,   15.70
   14.50,   18.13
   15.50,   19.93
   16.50,   20.76
   17.50,   22.50
   18.50,   23.99
   19.50,   22.70
   20.50,   23.63
   21.50,   24.06
   22.50,   23.72
   23.50,   23.77
   24.50,   23.86
   25.50,   23.78
   26.50,   23.77
   27.50,   23.82
   28.50,   23.78
   29.50,   23.78
   30.50,   23.77
   31.50,   23.77
   32.50,   23.80
   33.50,   12.08
   34.50,    0.00
   35.50,    0.00
   36.50,    0.00
   37.50,    0.00
   38.50,    0.00
   39.50,    0.00
