z,Load
  -39.50,   42.52
  -38.50,   42.58
  -37.50,   42.57
  -36.50,   42.56
  -35.50,   42.57
  -34.50,   42.58
  -33.50,   42.54
  -32.50,   42.45
  -31.50,   42.25
  -30.50,   42.06
  -29.50,   41.74
  -28.50,   41.18
  -27.50,   40.59
  -26.50,   39.78
  -25.50,   38.54
  -24.50,   37.12
  -23.50,   35.45
  -22.50,   33.64
  -21.50,   32.16
  -20.50,   31.14
  -19.50,   28.84
  -18.50,   25.49
  -17.50,   22.30
  -16.50,   19.38
  -15.50,   16.76
  -14.50,   14.42
  -13.50,   12.29
  -12.50,   10.18
  -11.50,    7.72
  -10.50,    5.71
   -9.50,    4.79
   -8.50,    3.95
   -7.50,    2.96
   -6.50,    2.79
   -5.50,    3.00
   -4.50,    3.03
   -3.50,    3.03
   -2.50,    2.18
   -1.50,    1.49
   -0.50,    1.60
    0.50,    1.50
    1.50,    1.96
    2.50,    2.70
    3.50,    3.39
    4.50,    3.73
    5.50,    3.66
    6.50,    4.83
    7.50,    6.35
    8.50,    8.14
    9.50,   11.51
   10.50,   15.22
   11.50,   18.41
   12.50,   22.87
   13.50,   26.79
   14.50,   28.76
   15.50,   30.70
   16.50,   33.06
   17.50,   34.32
   18.50,   35.76
   19.50,   37.43
   20.50,   38.58
   21.50,   39.35
   22.50,   39.90
   23.50,   40.27
   24.50,   40.43
   25.50,   40.84
   26.50,   41.39
   27.50,   41.88
   28.50,   42.27
   29.50,   42.50
   30.50,   42.58
   31.50,   42.59
   32.50,   42.56
   33.50,   42.57
   34.50,   42.58
   35.50,   42.57
   36.50,   42.57
   37.50,   42.57
   38.50,   42.59
   39.50,   42.49
