z,Load
  -39.50,   41.78
  -38.50,   42.35
  -37.50,   42.39
  -36.50,   42.35
  -35.50,   42.36
  -34.50,   42.27
  -33.50,   42.38
  -32.50,   42.30
  -31.50,   42.36
  -30.50,   42.33
  -29.50,   42.10
  -28.50,   41.70
  -27.50,   41.55
  -26.50,   41.04
  -25.50,   40.62
  -24.50,   40.03
  -23.50,   39.26
  -22.50,   38.88
  -21.50,   37.95
  -20.50,   36.73
  -19.50,   35.35
  -18.50,   33.27
  -17.50,   31.61
  -16.50,   28.99
  -15.50,   25.97
  -14.50,   23.31
  -13.50,   20.66
  -12.50,   17.61
  -11.50,   15.48
  -10.50,   14.83
   -9.50,   12.50
   -8.50,    9.98
   -7.50,    7.87
   -6.50,    6.59
   -5.50,    5.56
   -4.50,    4.38
   -3.50,    3.84
   -2.50,    3.55
   -1.50,    2.19
   -0.50,    2.12
    0.50,    1.74
    1.50,    0.91
    2.50,    1.35
    3.50,    1.69
    4.50,    1.30
    5.50,    1.76
    6.50,    1.54
    7.50,    2.03
    8.50,    3.64
    9.50,    4.96
   10.50,    8.68
   11.50,    9.10
   12.50,    9.36
   13.50,   11.27
   14.50,   14.31
   15.50,   17.84
   16.50,   22.54
   17.50,   27.77
   18.50,   28.89
   19.50,   29.05
   20.50,   30.09
   21.50,   31.36
   22.50,   33.23
   23.50,   34.98
   24.50,   36.88
   25.50,   38.81
   26.50,   40.57
   27.50,   41.41
   28.50,   42.21
   29.50,   42.52
   30.50,   42.40
   31.50,   42.46
   32.50,   42.40
   33.50,   42.44
   34.50,   42.38
   35.50,   42.37
   36.50,   42.38
   37.50,   42.37
   38.50,   42.34
   39.50,   42.19
