z,Load
  -39.50,   42.26
  -38.50,   42.39
  -37.50,   42.40
  -36.50,   42.28
  -35.50,   42.35
  -34.50,   42.35
  -33.50,   42.40
  -32.50,   42.36
  -31.50,   42.23
  -30.50,   42.28
  -29.50,   42.02
  -28.50,   41.76
  -27.50,   41.55
  -26.50,   41.23
  -25.50,   40.92
  -24.50,   40.42
  -23.50,   39.50
  -22.50,   38.67
  -21.50,   36.35
  -20.50,   34.54
  -19.50,   32.35
  -18.50,   29.26
  -17.50,   26.75
  -16.50,   23.00
  -15.50,   19.34
  -14.50,   17.46
  -13.50,   15.60
  -12.50,   13.65
  -11.50,   11.94
  -10.50,   10.68
   -9.50,    9.06
   -8.50,    7.24
   -7.50,    5.37
   -6.50,    4.74
   -5.50,    4.38
   -4.50,    3.49
   -3.50,    3.50
   -2.50,    2.68
   -1.50,    1.94
   -0.50,    1.72
    0.50,    1.55
    1.50,    1.11
    2.50,    1.09
    3.50,    1.07
    4.50,    1.29
    5.50,    0.86
    6.50,    1.80
    7.50,    2.13
    8.50,    2.64
    9.50,    3.90
   10.50,    6.93
   11.50,    9.10
   12.50,   10.22
   13.50,   14.40
   14.50,   17.79
   15.50,   19.56
   16.50,   22.55
   17.50,   26.00
   18.50,   28.87
   19.50,   30.70
   20.50,   32.23
   21.50,   33.34
   22.50,   34.69
   23.50,   35.76
   24.50,   37.11
   25.50,   38.44
   26.50,   38.83
   27.50,   39.07
   28.50,   40.04
   29.50,   40.78
   30.50,   41.91
   31.50,   42.65
   32.50,   42.48
   33.50,   42.29
   34.50,   42.41
   35.50,   42.38
   36.50,   42.39
   37.50,   42.34
   38.50,   42.45
   39.50,   42.29
