z,Load
  -39.50,   42.09
  -38.50,   42.37
  -37.50,   42.31
  -36.50,   42.31
  -35.50,   42.37
  -34.50,   42.34
  -33.50,   42.36
  -32.50,   42.29
  -31.50,   42.34
  -30.50,   42.11
  -29.50,   41.59
  -28.50,   41.21
  -27.50,   40.99
  -26.50,   40.54
  -25.50,   39.66
  -24.50,   38.58
  -23.50,   37.56
  -22.50,   36.41
  -21.50,   34.00
  -20.50,   32.34
  -19.50,   29.94
  -18.50,   27.20
  -17.50,   25.53
  -16.50,   23.12
  -15.50,   20.07
  -14.50,   18.05
  -13.50,   14.82
  -12.50,   12.88
  -11.50,   12.19
  -10.50,   10.36
   -9.50,    9.32
   -8.50,    7.01
   -7.50,    5.50
   -6.50,    4.74
   -5.50,    4.37
   -4.50,    4.02
   -3.50,    4.12
   -2.50,    2.90
   -1.50,    2.28
   -0.50,    1.98
    0.50,    1.81
    1.50,    1.19
    2.50,    1.03
    3.50,    0.90
    4.50,    0.98
    5.50,    0.99
    6.50,    2.04
    7.50,    2.45
    8.50,    3.80
    9.50,    5.65
   10.50,    9.42
   11.50,   11.52
   12.50,   12.87
   13.50,   16.23
   14.50,   17.46
   15.50,   18.86
   16.50,   22.99
   17.50,   27.53
   18.50,   31.06
   19.50,   32.85
   20.50,   33.47
   21.50,   34.10
   22.50,   35.21
   23.50,   36.03
   24.50,   36.94
   25.50,   38.23
   26.50,   39.02
   27.50,   39.23
   28.50,   40.11
   29.50,   41.05
   30.50,   42.19
   31.50,   42.67
   32.50,   42.37
   33.50,   42.36
   34.50,   42.36
   35.50,   42.34
   36.50,   42.40
   37.50,   42.32
   38.50,   42.30
   39.50,   42.41
