z,Load
  -39.50,   41.74
  -38.50,   42.28
  -37.50,   42.28
  -36.50,   42.29
  -35.50,   42.34
  -34.50,   42.36
  -33.50,   42.25
  -32.50,   42.22
  -31.50,   42.11
  -30.50,   42.12
  -29.50,   41.73
  -28.50,   41.15
  -27.50,   40.40
  -26.50,   39.93
  -25.50,   39.43
  -24.50,   38.48
  -23.50,   37.86
  -22.50,   37.56
  -21.50,   35.92
  -20.50,   34.89
  -19.50,   33.80
  -18.50,   31.77
  -17.50,   28.82
  -16.50,   25.60
  -15.50,   22.58
  -14.50,   20.31
  -13.50,   18.54
  -12.50,   16.57
  -11.50,   15.55
  -10.50,   15.14
   -9.50,   13.35
   -8.50,   10.76
   -7.50,    8.01
   -6.50,    6.26
   -5.50,    5.33
   -4.50,    4.21
   -3.50,    3.83
   -2.50,    3.28
   -1.50,    2.34
   -0.50,    1.94
    0.50,    1.53
    1.50,    1.11
    2.50,    1.07
    3.50,    1.26
    4.50,    1.34
    5.50,    1.62
    6.50,    2.03
    7.50,    2.39
    8.50,    4.21
    9.50,    7.53
   10.50,   11.37
   11.50,   11.74
   12.50,   12.12
   13.50,   14.08
   14.50,   16.11
   15.50,   19.16
   16.50,   23.98
   17.50,   28.41
   18.50,   29.06
   19.50,   29.16
   20.50,   30.24
   21.50,   31.72
   22.50,   33.58
   23.50,   35.32
   24.50,   36.84
   25.50,   38.55
   26.50,   39.64
   27.50,   40.63
   28.50,   41.47
   29.50,   42.03
   30.50,   42.33
   31.50,   42.25
   32.50,   42.29
   33.50,   42.39
   34.50,   42.31
   35.50,   42.34
   36.50,   42.44
   37.50,   42.29
   38.50,   42.36
   39.50,   42.26
