z,Load
  -39.50,   23.84
  -38.50,   23.86
  -37.50,   23.83
  -36.50,   23.86
  -35.50,   23.85
  -34.50,   23.85
  -33.50,   23.84
  -32.50,   23.82
  -31.50,   23.85
  -30.50,   23.86
  -29.50,   23.86
  -28.50,   23.86
  -27.50,   23.83
  -26.50,   23.88
  -25.50,   23.90
  -24.50,   23.58
  -23.50,   24.09
  -22.50,   23.10
  -21.50,   22.53
  -20.50,   22.19
  -19.50,   20.13
  -18.50,   19.77
  -17.50,   18.85
  -16.50,   16.23
  -15.50,   14.98
  -14.50,   11.45
  -13.50,    8.94
  -12.50,    6.89
  -11.50,    7.10
  -10.50,    6.79
   -9.50,    5.71
   -8.50,    4.13
   -7.50,    3.09
   -6.50,    3.05
   -5.50,    3.75
   -4.50,    4.64
   -3.50,    4.32
   -2.50,    4.54
   -1.50,    4.25
   -0.50,    3.60
    0.50,    2.64
    1.50,    1.86
    2.50,    2.63
    3.50,    2.47
    4.50,    3.92
    5.50,    4.02
    6.50,    4.27
    7.50,    4.01
    8.50,    4.75
    9.50,    4.74
   10.50,    5.85
   11.50,    9.08
   12.50,   10.23
   13.50,   12.12
   14.50,   13.53
   15.50,   12.74
   16.50,   15.30
   17.50,   16.30
   18.50,   17.37
   19.50,   18.14
   20.50,   19.34
   21.50,   20.43
   22.50,   21.55
   23.50,   22.81
   24.50,   24.01
   25.50,   23.98
   26.50,   23.72
   27.50,   23.95
   28.50,   23.90
   29.50,   23.87
   30.50,   23.82
   31.50,   23.89
   32.50,   23.79
   33.50,   23.85
   34.50,   23.88
   35.50,   23.83
   36.50,   23.84
   37.50,   23.84
   38.50,   23.87
   39.50,   23.83
