z,Load
  -39.50,   23.79
  -38.50,   23.73
  -37.50,   23.75
  -36.50,   23.77
  -35.50,   23.76
  -34.50,   23.75
  -33.50,   23.75
  -32.50,   23.77
  -31.50,   23.77
  -30.50,   23.76
  -29.50,   23.74
  -28.50,   23.78
  -27.50,   23.77
  -26.50,   22.76
  -25.50,   22.61
  -24.50,   21.08
  -23.50,   18.92
  -22.50,   16.78
  -21.50,   13.86
  -20.50,   11.06
  -19.50,    8.45
  -18.50,    7.29
  -17.50,    5.25
  -16.50,    4.14
  -15.50,    5.06
  -14.50,    2.51
  -13.50,    3.03
  -12.50,    2.18
  -11.50,    3.32
  -10.50,    1.81
   -9.50,    1.35
   -8.50,    2.44
   -7.50,    0.76
   -6.50,    1.19
   -5.50,    1.16
   -4.50,    0.77
   -3.50,    2.20
   -2.50,    0.49
   -1.50,    0.08
   -0.50,    0.03
    0.50,    0.15
    1.50,    1.54
    2.50,    2.82
    3.50,    2.59
    4.50,    4.44
    5.50,    5.16
    6.50,    6.11
    7.50,    7.69
    8.50,    7.84
    9.50,    9.20
   10.50,   12.53
   11.50,   12.05
   12.50,   14.21
   13.50,   16.66
   14.50,   16.62
   15.50,   17.67
   16.50,   17.76
   17.50,   19.46
   18.50,   19.31
   19.50,   18.31
   20.50,   20.41
   21.50,   19.86
   22.50,   20.82
   23.50,   23.40
   24.50,   23.30
   25.50,   23.51
   26.50,   23.68
   27.50,   24.00
   28.50,   23.71
   29.50,   23.76
   30.50,   23.83
   31.50,   23.76
   32.50,   23.77
   33.50,   23.79
   34.50,   23.79
   35.50,   23.75
   36.50,   23.79
   37.50,   23.78
   38.50,   23.75
   39.50,   15.04
