z,Load
  -39.50,   65.25
  -38.50,   65.88
  -37.50,   65.85
  -36.50,   65.61
  -35.50,   65.34
  -34.50,   64.50
  -33.50,   63.13
  -32.50,   61.68
  -31.50,   60.18
  -30.50,   58.08
  -29.50,   55.51
  -28.50,   52.88
  -27.50,   50.04
  -26.50,   46.42
  -25.50,   43.25
  -24.50,   39.22
  -23.50,   35.38
  -22.50,   31.21
  -21.50,   27.48
  -20.50,   23.16
  -19.50,   18.72
  -18.50,   14.86
  -17.50,   11.19
  -16.50,    8.07
  -15.50,    6.24
  -14.50,    4.85
  -13.50,    3.55
  -12.50,    2.64
  -11.50,    2.32
  -10.50,    1.51
   -9.50,    0.78
   -8.50,    0.71
   -7.50,    0.80
   -6.50,    0.95
   -5.50,    1.77
   -4.50,    2.42
   -3.50,    1.44
   -2.50,    1.30
   -1.50,    1.47
   -0.50,    1.58
    0.50,    2.09
    1.50,    3.10
    2.50,    3.73
    3.50,    4.80
    4.50,    6.58
    5.50,    8.62
    6.50,   11.57
    7.50,   15.54
    8.50,   19.62
    9.50,   24.95
   10.50,   30.24
   11.50,   35.44
   12.50,   40.30
   13.50,   44.55
   14.50,   50.38
   15.50,   55.42
   16.50,   58.68
   17.50,   61.35
   18.50,   63.21
   19.50,   64.55
   20.50,   65.37
   21.50,   65.93
   22.50,   66.24
   23.50,   66.35
   24.50,   66.46
   25.50,   66.45
   26.50,   66.48
   27.50,   66.49
   28.50,   66.46
   29.50,   66.45
   30.50,   66.47
   31.50,   66.47
   32.50,   66.46
   33.50,   66.47
   34.50,   66.44
   35.50,   66.47
   36.50,   66.41
   37.50,   66.45
   38.50,   66.33
   39.50,   65.52
